lil_interpretations
"[(""it  ' s an off beat treat that poke s fun at the democratic exercise while also examining its significance for those who take part  ."", 0.0003267526626586914), ("" ' s an off beat treat that poke s fun at the democratic exercise while also examining its significance for those who take part"", 0.0003267526626586914), ('s an off beat treat that poke s fun at the democratic exercise while also examining its significance for those who take part', 0.0003267526626586914), ('an off beat treat that poke s fun at the democratic exercise while also examining its significance for those who take part', 0.0003267526626586914), ('an off beat treat', 0.0003267526626586914)]"
[('and', -0.3597962260246277), ('', -0.3598902225494385), (',', -0.36108726263046265), ('cut', -0.3612072467803955), ('a', -0.3613240718841553)]
[('had', -0.31746166944503784), ('away', -0.3209799528121948), ('look', -0.32123178243637085), ('to', -0.32163822650909424), ('i', -0.3228241205215454)]
"[(""thanks to  s cott  ' s charismatic  ro ger and  ei s enberg  ' s sweet nephew  ,  ro ger dodge r is one of the most compelling variations on in the company of men  ."", 0.00011324882507324219), (""thanks to  s cott  ' s charismatic  ro ger and  ei s enberg  ' s sweet nephew"", 0.00011324882507324219), (""to  s cott  ' s charismatic  ro ger and  ei s enberg  ' s sweet nephew"", 0.00011324882507324219), ("" s cott  ' s charismatic  ro ger and  ei s enberg  ' s sweet nephew"", 0.00011324882507324219), ("" s cott  ' s charismatic  ro ger"", 0.00011324882507324219)]"
"[(' . . . designed to provide a mix of smiles and tears  ,  "" crossroads  "" instead provoke s a handful of unintentional how ler s and numerous yawn s  .', 0.02964121103286743), ('designed to provide a mix of smiles and tears', -0.041068077087402344), ('to provide a mix of smiles and tears', -0.04899716377258301), ('provide a mix of smiles and tears', -0.06003648042678833), ('provoke s a handful of unintentional how ler s and numerous yawn s', -0.07103919982910156)]"
[('a gorgeous  , witty  , seductive movie  .', 0.0005367398262023926), ('gorgeous', 0.00047641992568969727), ('witty', 0.00047641992568969727), ('a', 0.0004761815071105957), ('seductive', 0.0004757046699523926)]
[('ing a wary sense of ` there but for the grace of god', -0.20233798027038574), ('still ing a wary sense of ` there but for the grace of god', -0.20446181297302246), ('in still ing a wary sense of ` there but for the grace of god', -0.2046276330947876), ('s in in still ing a wary sense of ` there but for the grace of god', -0.20963090658187866), ('succeed s in in still ing a wary sense of ` there but for the grace of god', -0.21490907669067383)]
[('n', -0.4212181568145752), ('does', -0.4218630790710449), ('t', -0.42255592346191406), ('believe', -0.42263829708099365), ('in', -0.42274248600006104)]
[('shoot', -0.3565843105316162), ('of', -0.35819172859191895), ('-', -0.35869479179382324), ('sequence', -0.35892724990844727), ('up', -0.3590126633644104)]
[('the weight of the piece  , the un er ring professionalism of the chilly production  , and the fascination embedded in the  lu rid topic prove recommendation enough  .', 0.031217098236083984), ('the weight of the piece  , the un er ring professionalism of the chilly production  , and the fascination embedded in the  lu rid topic', 0.031217098236083984), ('the weight of the piece', 0.031217098236083984), ('the un er ring professionalism of the chilly production', 0.031217098236083984), ('the un er ring professionalism', 0.031217098236083984)]
"[("" -LRB-  w  -RRB-  hil e long on  ami able monkey s and worthy environmental ism  ,  jan e good all  ' s wild chimpanzee s is short on the thrill s the over size medium demands  ."", 0.015172243118286133), (' hil e long on  ami able monkey s and worthy environmental ism', -0.022027790546417236), ('e long on  ami able monkey s and worthy environmental ism', -0.028468310832977295), ('long on  ami able monkey s and worthy environmental ism', -0.03288888931274414), ('on  ami able monkey s and worthy environmental ism', -0.037555813789367676)]"
[('as surreal as a dream and as detailed as a photograph  , as visually  dex ter ous as it is at times imaginative ly overwhelming  .', 0.003983914852142334), ('as surreal as a dream and as detailed as a photograph', 0.003983914852142334), ('as a dream and as detailed as a photograph', 0.003983914852142334), ('as a dream', 0.003983914852142334), ('as detailed as a photograph', 0.003983914852142334)]
[('escaping the studio  ,  pic coli is warm ly affecting and so is this a dro it ly minimal ist movie  .', 0.000971674919128418), ('escaping the studio', 0.000971674919128418), ('the studio', 0.000971674919128418), (' pic coli is warm ly affecting', 0.000971674919128418), (' pic coli', 0.000971674919128418)]
"[(""there  ' s  . . . tremendous energy from the cast  , a sense of play fulness and excitement that seems appropriate  ."", 0.0001647472381591797), ("" ' s  . . . tremendous energy from the cast  , a sense of play fulness and excitement that seems appropriate"", 0.0001647472381591797), ('s  . . . tremendous energy from the cast  , a sense of play fulness and excitement that seems appropriate', 0.0001647472381591797), ('tremendous energy from the cast  , a sense of play fulness and excitement that seems appropriate', 0.0001647472381591797), ('tremendous energy from the cast', 0.0001647472381591797)]"
[('this illuminating documentary transcend s our pre conceived vision of the holy land and its inhabitants  , revealing the human complexities beneath  .', 0.0002772212028503418), ('this illuminating documentary', 0.0002772212028503418), ('transcend s our pre conceived vision of the holy land and its inhabitants  , revealing the human complexities beneath', 0.0002772212028503418), ('our pre conceived vision of the holy land and its inhabitants', 0.0002772212028503418), ('our pre conceived vision', 0.0002772212028503418)]
"[('the subtle strength of  ""  ell ing  "" is that it never loses touch with the reality of the grim situation  .', 0.0014989376068115234), ('the subtle strength of  ""  ell ing  ""', 0.0014989376068115234), ('the subtle strength', 0.0014989376068115234), ('of  ""  ell ing  ""', 0.0014989376068115234), (' ""  ell ing  ""', 0.0014989376068115234)]"
[(' holm  . . .  e mbo dies the character with an effortlessly regal charisma  .', 0.0005176067352294922), ('dies the character with an effortlessly regal charisma', 0.0005176067352294922), ('the character', 0.0005176067352294922), ('with an effortlessly regal charisma', 0.0005176067352294922), ('an effortlessly regal charisma', 0.0005176067352294922)]
[('the title not only describes its main characters  , but the lazy people behind the camera as well  .', 0.03117358684539795), ('not only describes its main characters  , but the lazy people behind the camera as well', 0.02857661247253418), ('the lazy people behind the camera', -0.03594791889190674), ('describes its main characters', -0.08081257343292236), ('the lazy people', -0.10443282127380371)]
[('the moment ary joy s of pretty and weight less intellectual entertainment', -0.15722519159317017), ('beyond the moment ary joy s of pretty and weight less intellectual entertainment', -0.15792971849441528), ('little beyond the moment ary joy s of pretty and weight less intellectual entertainment', -0.15966367721557617), ('it offers little beyond the moment ary joy s of pretty and weight less intellectual entertainment  .', -0.16021430492401123), ('offers little beyond the moment ary joy s of pretty and weight less intellectual entertainment', -0.16109681129455566)]
[('seems positively decade nt in its cinematic flash and emptiness', -0.23443728685379028), ('that seems positively decade nt in its cinematic flash and emptiness', -0.23538744449615479), ('in its cinematic flash and emptiness', -0.23724275827407837), ('in', -0.23842644691467285), ('positively decade nt', -0.2394554615020752)]
[('a subtle and well - craft ed  -LRB- for the most part  -RRB- chill er  .', 0.0005328059196472168), ('a subtle and well - craft ed', 0.0005328059196472168), ('well - craft', 0.0005328059196472168), ('for the most part', 0.0005328059196472168), ('the most part', 0.0005328059196472168)]
[('has a lot of the virtue s of east wood at his best  .', 0.0007345080375671387), ('has a lot of the virtue s of east wood at his best', 0.0007345080375671387), ('a lot of the virtue s of east wood', 0.0007345080375671387), ('a lot', 0.0007345080375671387), ('of the virtue s of east wood', 0.0007345080375671387)]
[('plot', -0.4014880657196045), ('kind', -0.40211576223373413), ('channel', -0.4022102355957031), ('', -0.4035741686820984), ('-', -0.4036955237388611)]
[('fancy', -0.33080965280532837), ('egg', -0.3321457505226135), ('special', -0.3323042392730713), ('some', -0.33335524797439575), ('effects', -0.33358514308929443)]
"[(""for the most part  , director  anne - s oph ie bi rot  ' s first feature is a sensitive  , extra or din arily well - act ed drama  ."", 0.0002409815788269043), ('for the most part', 0.0002409815788269043), ('the most part', 0.0002409815788269043), (""director  anne - s oph ie bi rot  ' s first feature"", 0.0002409815788269043), (""director  anne - s oph ie bi rot  ' s"", 0.0002409815788269043)]"
[(' m r .  t sai is a very original artist in his medium  , and what time is it there  ?', 0.010931193828582764), ('is a very original artist in his medium  , and what time is it there', 0.010931193828582764), ('is a very original artist in his medium', 0.010931193828582764), ('a very original artist', 0.010931193828582764), ('in his medium', 0.010931193828582764)]
[(' s ade is an engaging look at the controversial eponymous and fiercely atheist ic hero  .', 0.0005873441696166992), (' s ade', 0.0005873441696166992), ('is an engaging look at the controversial eponymous and fiercely atheist ic hero', 0.0005873441696166992), ('an engaging look at the controversial eponymous and fiercely atheist ic hero', 0.0005873441696166992), ('an engaging look', 0.0005873441696166992)]
[('thoughtful', -0.3775121569633484), ('xxx', -0.37812966108322144), ('', -0.3793753385543823), ('treatise', -0.3799055814743042), ('films', -0.3802008628845215)]
[('a tender  , heartfelt family drama  .', 0.0006201267242431641), ('tender', 0.0005670785903930664), ('heartfelt', 0.0005670785903930664), (',', 0.0005668401718139648), ('drama', 0.0005668401718139648)]
[('embellish', -0.26632559299468994), ('ing', -0.2669702172279358), ('fun', -0.2680457830429077), ('the', -0.269037127494812), ('much', -0.2710702419281006)]
[('far', -0.27154213190078735), ('better', -0.2720613479614258), ('a', -0.27214568853378296), ('been', -0.2728220820426941), ('', -0.27331221103668213)]
[('mundane', -0.2266818881034851), ('istic', -0.23909789323806763), ('pul', -0.23958617448806763), ('.', -0.240711510181427), ('sad', -0.24173885583877563)]
[('has all the elements necessary to be a fascinating  , involving character study', -0.09797912836074829), ('all the elements necessary to be a fascinating  , involving character study', -0.11260169744491577), ('a movie that has all the elements necessary to be a fascinating  , involving character study  , but never does more than scratch the surface', -0.12347406148910522), ('that has all the elements necessary to be a fascinating  , involving character study  , but never does more than scratch the surface', -0.12428534030914307), ('has all the elements necessary to be a fascinating  , involving character study  , but never does more than scratch the surface', -0.12716728448867798)]
"[(""this is a story of two mis fit s who do  n ' t stand a chance alone  , but together they are magnificent  ."", 0.005677342414855957), (""this is a story of two mis fit s who do  n ' t stand a chance alone"", 0.005677342414855957), (""is a story of two mis fit s who do  n ' t stand a chance alone"", 0.005677342414855957), (""a story of two mis fit s who do  n ' t stand a chance alone"", 0.005677342414855957), (""of two mis fit s who do  n ' t stand a chance alone"", 0.005677342414855957)]"
[('cha', -0.33261024951934814), ('which', -0.33390575647354126), ('', -0.33419132232666016), ('cit', -0.33498841524124146), ('some', -0.335155189037323)]
[('the primitive force of this film seems to bubble up from the vast collective memory of the combatants  .', 0.025600969791412354), ('the primitive force of this film', 0.025600969791412354), ('seems to bubble up from the vast collective memory of the combatants', 0.025600969791412354), ('to bubble up from the vast collective memory of the combatants', 0.025600969791412354), ('bubble up from the vast collective memory of the combatants', 0.025600969791412354)]
[('on this tricky topic  ,  t ad pole is very much a step in the right direction  , with its blend of frank ness  , civil ity and compassion  .', 0.0002034306526184082), ('on this tricky topic', 0.0002034306526184082), ('this tricky topic', 0.0002034306526184082), (' t ad pole', 0.0002034306526184082), ('is very much a step in the right direction  , with its blend of frank ness  , civil ity and compassion', 0.0002034306526184082)]
"[(""the script kicks in  , and  m r .  hart ley  ' s dis t ended pace and foot - dra gging rhythm s follow  ."", 0.04280269145965576), ("" m r .  hart ley  ' s dis t ended pace and foot - dra gging rhythm s follow"", 0.04278385639190674), ('ended pace and foot - dra gging rhythm s follow', 0.037622272968292236), (""m r .  hart ley  ' s"", 0.03731811046600342), ('foot - dra gging rhythm s follow', 0.02246701717376709)]"
"[(""you wonder why enough was  n ' t just a music video rather than a full - length movie  ."", -0.17303425073623657), (""wonder why enough was  n ' t just a music video rather than a full - length movie"", -0.19033777713775635), (""why enough was  n ' t just a music video rather than a full - length movie"", -0.20032107830047607), (""enough was  n ' t just a music video rather than a full - length movie"", -0.2056368589401245), (""was  n ' t just a music video rather than a full - length movie"", -0.20786070823669434)]"
"[(""if you  ' re hard up for  ra un chy college humor  , this is your ticket right here  ."", 0.05875974893569946), (""if you  ' re hard up for  ra un chy college humor"", 0.05875974893569946), (""you  ' re hard up for  ra un chy college humor"", 0.05875974893569946), ("" ' re hard up for  ra un chy college humor"", 0.05875974893569946), ('re hard up for  ra un chy college humor', 0.05875974893569946)]"
[('a fast  , funny  , highly enjoyable movie  .', 0.0005161762237548828), ('fast  , funny  , highly enjoyable', 0.0005161762237548828), ('highly enjoyable', 0.000516057014465332), ('fast', 0.00045478343963623047), ('a', 0.0004544258117675781)]
[('good old - fashioned slash - and - hack is back  !', -0.15729516744613647), ('good old - fashioned slash - and - hack', -0.17190498113632202), ('old - fashioned', -0.212898850440979), ('slash', -0.22023630142211914), ('and', -0.22035443782806396)]
[('.', -0.1945006251335144), ('this', -0.221305251121521), ('to', -0.22505807876586914), ('', -0.22653186321258545), ('skip', -0.22809624671936035)]
[('for all its impressive craftsmanship  , and despite an over bearing series of third - act cre s cen dos  ,  li ly  cho u - cho u never really builds up a head of emotional steam  .', -0.13408583402633667), ('for all its impressive craftsmanship', -0.17654186487197876), ('all its impressive craftsmanship', -0.18080145120620728), ('despite an over bearing series of third - act cre s cen dos', -0.18323832750320435), ('an over bearing series of third - act cre s cen dos', -0.19142168760299683)]
[('exquisite ly nuance d in mood  tics and dialogue  , this chamber drama is superb ly acted by the deeply appealing veteran bouquet and the chill ing but quite human  ber ling  .', 0.0001302957534790039), ('exquisite ly nuance d in mood  tics and dialogue', 0.0001302957534790039), ('in mood  tics and dialogue', 0.0001302957534790039), ('mood  tics and dialogue', 0.0001302957534790039), ('mood  tics', 0.0001302957534790039)]
[('uses high comedy to evoke surprising po ign ance  .', 0.0007231831550598145), ('uses high comedy to evoke surprising po ign ance', 0.0007231831550598145), ('high comedy', 0.0007231831550598145), ('to evoke surprising po ign ance', 0.0007231831550598145), ('evoke surprising po ign ance', 0.0007231831550598145)]
[('one of creep iest  , scar iest movies to come along in a long  , long time  , easily rival ing  bla ir witch or the others  .', 0.007913768291473389), ('one of creep iest  , scar iest movies', 0.007913768291473389), ('of creep iest  , scar iest movies', 0.007913768291473389), ('creep iest  , scar iest movies', 0.007913768291473389), ('to come along in a long  , long time  , easily rival ing  bla ir witch or the others', 0.007913768291473389)]
[('in', -0.4103761911392212), ('pid', -0.41039466857910156), ('ity', -0.41051995754241943), ('based', -0.41055870056152344), ('shed', -0.41055935621261597)]
"[(""among the year  ' s most intriguing exploration s of alien tation  ."", 0.0011126399040222168), (""the year  ' s most intriguing exploration s of alien tation"", 0.0011126399040222168), (""the year  ' s most intriguing exploration s"", 0.0011126399040222168), (""the year  ' s"", 0.0011126399040222168), ('most intriguing', 0.0011126399040222168)]"
[('live', -0.42624008655548096), ('fails', -0.4262462854385376), ('movie', -0.4265095591545105), ('up', -0.42652153968811035), ('to', -0.42661309242248535)]
"[(""the son  ' s room is a triumph of  gent ility that earn s its moments of path os  ."", 0.0004942417144775391), (""the son  ' s room"", 0.0004942417144775391), (""the son  ' s"", 0.0004942417144775391), ('is a triumph of  gent ility that earn s its moments of path os', 0.0004942417144775391), ('a triumph of  gent ility that earn s its moments of path os', 0.0004942417144775391)]"
[('there is nothing outstanding about this film  , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine  .', 0.020689427852630615), ('it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine', 0.020689427852630615), ('is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine', 0.020689427852630615), ('will likely be appreciated most by sailors and folks who know their way around a submarine', 0.020689427852630615), ('be appreciated most by sailors and folks who know their way around a submarine', 0.020689427852630615)]
[('loud', -0.2583262324333191), ('bright', -0.25893962383270264), ('flashes', -0.261225163936615), ('and', -0.2614738345146179), ('s', -0.26340049505233765)]
"[('the draw  -LRB- for  "" big bad love  ""  -RRB- is a solid performance by  ar lis s how ard  .', 0.000429689884185791), ('the draw  -LRB- for  "" big bad love  ""  -RRB-', 0.000429689884185791), ('the draw', 0.000429689884185791), ('big bad love', 0.000429689884185791), ('is a solid performance by  ar lis s how ard', 0.000429689884185791)]"
[('green might want to hang onto that ski mask  , as robbery may be the only way to pay for his next project  .', -0.04160088300704956), ('might want to hang onto that ski mask  , as robbery may be the only way to pay for his next project', -0.05468553304672241), ('want to hang onto that ski mask  , as robbery may be the only way to pay for his next project', -0.05743330717086792), ('as robbery may be the only way to pay for his next project', -0.11730813980102539), ('robbery may be the only way to pay for his next project', -0.12634313106536865)]
"[(""it  ' s one p ussy - ass world when even killer - th rill ers revolve around group therapy sessions  ."", 0.02245551347732544), ("" ' s one p ussy - ass world when even killer - th rill ers revolve around group therapy sessions"", 0.01948857307434082), ('s one p ussy - ass world when even killer - th rill ers revolve around group therapy sessions', 0.016490519046783447), ('when even killer - th rill ers revolve around group therapy sessions', -0.0038187503814697266), ('even killer - th rill ers revolve around group therapy sessions', -0.009607791900634766)]"
"[(""though it  ' s become almost redundant to say so  , major  ku dos go to  leigh for actually casting people who look working - class  ."", 0.03618645668029785), ('go to  leigh for actually casting people who look working - class', 0.03618645668029785), ('for actually casting people who look working - class', 0.03618645668029785), ('actually casting people who look working - class', 0.03618645668029785), ('casting people who look working - class', 0.03618645668029785)]"
"[(""the band  ' s courage in the face of official repression is in spir ing  , especially for aging hip pies  -LRB- this one included  -RRB-  ."", 0.0001722574234008789), (""the band  ' s courage in the face of official repression"", 0.0001722574234008789), (""the band  ' s courage"", 0.0001722574234008789), (""the band  ' s"", 0.0001722574234008789), ('in the face of official repression', 0.0001722574234008789)]"
[('the movie achieve s as great an impact by keeping these thoughts hidden as  . . .  -LRB-  qui ll s  -RRB- did by showing them  .', 0.00019615888595581055), ('the movie', 0.00019615888595581055), ('achieve s as great an impact by keeping these thoughts hidden as  . . .  -LRB-  qui ll s  -RRB- did by showing them', 0.00019615888595581055), ('s as great an impact', 0.00019615888595581055), ('as great an impact', 0.00019615888595581055)]
[('decade', -0.37040841579437256), ('nt', -0.3704223036766052), ('tr', -0.37432706356048584), ('uffle', -0.37582141160964966), ('dark', -0.3775296211242676)]
[(' ja glo m  . . . put  -LRB-  s  -RRB- the audience in the privileged position of eavesdrop ping on his characters', 0.059139251708984375), ('put  -LRB-  s  -RRB- the audience in the privileged position of eavesdrop ping on his characters', 0.059139251708984375), ('in the privileged position of eavesdrop ping on his characters', 0.059139251708984375), ('the privileged position of eavesdrop ping on his characters', 0.059139251708984375), ('of eavesdrop ping on his characters', 0.059139132499694824)]
"[("" fre s na d illo  ' s dark and jolt ing images have a way of p lying into your subconscious like the nightmare you had a week ago that  wo  n ' t go away  ."", 0.0034244656562805176), ('dark and jolt ing', 0.0034244656562805176), (""have a way of p lying into your subconscious like the nightmare you had a week ago that  wo  n ' t go away"", 0.0034244656562805176), (""a way of p lying into your subconscious like the nightmare you had a week ago that  wo  n ' t go away"", 0.0034244656562805176), (""of p lying into your subconscious like the nightmare you had a week ago that  wo  n ' t go away"", 0.0034244656562805176)]"
"[(""we know the plot  ' s a little crazy  , but it held my interest from start to finish  ."", 0.017995119094848633), ('it held my interest from start to finish', 0.017995119094848633), ('held my interest from start to finish', 0.017995119094848633), ('from start to finish', 0.017995119094848633), ('to finish', 0.017989158630371094)]"
"[(""it  ' s a scatter shot affair  , but when it hits its mark it  ' s brilliant  ."", 0.005687594413757324), (""it  ' s a scatter shot affair"", 0.005687594413757324), ("" ' s a scatter shot affair"", 0.005687594413757324), ('s a scatter shot affair', 0.005687594413757324), (""when it hits its mark it  ' s brilliant"", 0.005687594413757324)]"
[('hardly a masterpiece  , but it introduces viewers to a good charitable enterprise and some interesting real people  .', 0.0015541911125183105), ('it introduces viewers to a good charitable enterprise and some interesting real people', 0.0015541911125183105), ('introduces viewers to a good charitable enterprise and some interesting real people', 0.0015541911125183105), ('to a good charitable enterprise and some interesting real people', 0.0015541911125183105), ('a good charitable enterprise and some interesting real people', 0.0015541911125183105)]
"[(""you  wo  n ' t like  ro ger  , but you will quickly recognize him  ."", 0.022785484790802002), (""you  wo  n ' t like  ro ger"", 0.022785484790802002), ("" wo  n ' t like  ro ger"", 0.022785484790802002), ('like  ro ger', 0.022785484790802002), ('you will quickly recognize him', 0.022785484790802002)]"
[('berg', -0.34015148878097534), ('der', -0.34092819690704346), ('so', -0.34211069345474243), ('solar', -0.34223324060440063), ('h', -0.3472856879234314)]
[('by ler reveals his characters in a way that intrigue s and even  fasci nate s us  , and he never reduces the situation to simple melodrama  .', 0.00012993812561035156), ('by ler reveals his characters in a way that intrigue s and even  fasci nate s us', 0.00012993812561035156), ('by ler', 0.00012993812561035156), ('reveals his characters in a way that intrigue s and even  fasci nate s us', 0.00012993812561035156), ('his characters', 0.00012993812561035156)]
[('this  ri ve ting world war  ii moral suspense story deals with the shadow side of  american culture  : racial prejudice in its ugly and diverse forms  .', 0.00026744604110717773), ('this  ri ve ting world war  ii moral suspense story', 0.00026744604110717773), (' ri ve ting world war  ii', 0.00026744604110717773), ('moral suspense', 0.00026744604110717773), ('deals with the shadow side of  american culture  : racial prejudice in its ugly and diverse forms', 0.00026744604110717773)]
